Player;Two;Three;Four;Five;Six;Seven;Eight;Nine;Ten;Jack;Queen;King;Ace
A;P;P;P;P;P;P;P;P;P;P;P;P;P
K;S;S;S;S;S;S;S;S;S;S;S;S;S
Q;S;S;S;S;S;S;S;S;S;S;S;S;S
J;S;S;S;S;S;S;S;S;S;S;S;S;S
10;S;S;S;S;S;S;S;S;S;S;S;S;S
9;P;P;P;P;P;S;P;P;S;S;S;S;S
8;P;P;P;P;P;P;P;P;P;P;P;P;P
7;P;P;P;P;P;P;H;H;H;H;H;H;H
6;P;P;P;P;P;H;H;H;H;H;H;H;H
5;D;D;D;D;D;D;D;D;H;H;H;H;H
4;H;H;H;P;P;H;H;H;H;H;H;H;H
3;P;P;P;P;P;P;H;H;H;H;H;H;H
2;P;P;P;P;P;P;H;H;H;H;H;H;H
