Player;Two;Three;Four;Five;Six;Seven;Eight;Nine;Ten;Jack;Queen;King;Ace
A10;S;S;S;S;S;S;S;S;S;S;S;S;S
A9;S;S;S;S;S;S;S;S;S;S;S;S;S
A8;S;S;S;S;S;S;S;S;S;S;S;S;S
A7;S;H;H;H;H;S;S;H;H;H;H;H;H
A6;H;H;H;H;H;H;H;H;H;H;H;H;H
A5;H;H;H;H;H;H;H;H;H;H;H;H;H
A4;H;H;H;H;H;H;H;H;H;H;H;H;H
A3;H;H;H;H;H;H;H;H;H;H;H;H;H
A2;H;H;H;H;H;H;H;H;H;H;H;H;H
